ID,Time_h,perc_ID_g,Species,Age/weight,Strain,Organ,Size_nm,Analysis method,NP_Type,NP_Shape,Ligand,Charge,PEG cover,provided_identifier,Name,Charge ,provided_identifier_type,pmcid,doi
2,4320.0,48.59335038,Mouse,23.7,Balb/c mice,Spleen,13.0,ICP-MS,Gold,Nanoparticle,No,,5000,20193702,,,pmid,,
3,0.5,16.91604406,Mouse,23.7,Balb/c mice,Spleen,100.0,ICP-MS,Gold,Nanoparticle,No,,30000,20193702,Gold 100nm,,pmid,,
3,4.0,19.33262179,Mouse,23.7,Balb/c mice,Spleen,100.0,ICP-MS,Gold,Nanoparticle,No,,30000,20193702,,,pmid,,
3,24.0,33.50987776,Mouse,23.7,Balb/c mice,Spleen,100.0,ICP-MS,Gold,Nanoparticle,No,,30000,20193702,,,pmid,,
3,168.0,26.74346014,Mouse,23.7,Balb/c mice,Spleen,100.0,ICP-MS,Gold,Nanoparticle,No,,30000,20193702,,,pmid,,
3,720.0,15.62720261,Mouse,23.7,Balb/c mice,Spleen,100.0,ICP-MS,Gold,Nanoparticle,No,,30000,20193702,,,pmid,,
3,2160.0,47.04271301,Mouse,23.7,Balb/c mice,Spleen,100.0,ICP-MS,Gold,Nanoparticle,No,,30000,20193702,,,pmid,,
3,4320.0,48.17044928,Mouse,23.7,Balb/c mice,Spleen,100.0,ICP-MS,Gold,Nanoparticle,No,,30000,20193702,,,pmid,,
4,4.0,5.454545455,Mouse,,Nude mice,Spleen,5.0,Fluorescence,Gold,Nanoparticle,EGFR Pep,Neutral,5000,25999665,Peptide Au NP 5nm,,pmid,PMC4437573,10.1002/ppsc.201400119
4,24.0,27.5,Mouse,,Nude mice,Spleen,5.0,Fluorescence,Gold,Nanoparticle,EGFR Pep,Neutral,5000,25999665,,,pmid,,
4,168.0,63.40909091,Mouse,,Nude mice,Spleen,5.0,Fluorescence,Gold,Nanoparticle,EGFR Pep,Neutral,5000,25999665,,,pmid,,
5,0.5,6.19047619,Mouse,21.8,Balb/c mice,Spleen,27.3,ICP-MS,Gold,Nanoparticle,Choline,,0,23739667,27.3Au NP,,pmid,,
5,1.0,14.28571429,Mouse,21.8,Balb/c mice,Spleen,27.3,ICP-MS,Gold,Nanoparticle,Choline,,0,23739667,,,pmid,,
5,2.0,13.33333333,Mouse,21.8,Balb/c mice,Spleen,27.3,ICP-MS,Gold,Nanoparticle,Choline,,0,23739667,,,pmid,,
5,4.0,12.61904762,Mouse,21.8,Balb/c mice,Spleen,27.3,ICP-MS,Gold,Nanoparticle,Choline,,0,23739667,,,pmid,,
5,24.0,38.0952381,Mouse,21.8,Balb/c mice,Spleen,27.3,ICP-MS,Gold,Nanoparticle,Choline,,0,23739667,,,pmid,,
6,24.0,6.36,Mouse,,Nude mice,Spleen,2.5,64Cu ,Gold,Nanoclusters,No,,0,25224367,64Cu-doped AuNCs 2.5nm,,pmid,PMC4180787,10.1016/j.biomaterials.2014.08.038
7,1.0,9.716981132,Mouse,21.4,Nude mice,Spleen,10.0,PET,Gold,Tripods,RGDfC peptide,,3400,24495038,Gold tripods <20nm,,pmid,PMC3985880,10.1021/ja412001e
7,4.0,8.396226415,Mouse,21.4,Nude mice,Spleen,10.0,PET,Gold,Tripods,RGDfC peptide,,3400,24495038,,,pmid,,
7,24.0,6.603773585,Mouse,21.4,Nude mice,Spleen,10.0,PET,Gold,Tripods,RGDfC peptide,,3400,24495038,,,pmid,,
7,48.0,5.094339623,Mouse,21.4,Nude mice,Spleen,10.0,PET,Gold,Tripods,RGDfC peptide,,3400,24495038,,,pmid,,
8,1.0,2.489795918,Mouse,20.0,Balb/c mice,Spleen,56.8,198Au,Gold,Nanoparticle,No,,5000,24766522,Gold nanospheres 56.8nm,,pmid,PMC4358630,10.1021/nn406258m
8,6.0,3.0256,Mouse,20.0,Balb/c mice,Spleen,56.8,198Au,Gold,Nanoparticle,No,,5000,24766522,,,pmid,,
8,24.0,5.179487179,Mouse,20.0,Balb/c mice,Spleen,56.8,198Au,Gold,Nanoparticle,No,,5000,24766522,,,pmid,,
9,1.0,54.0,Mouse,20.0,Balb/c mice,Spleen,92.0,198Au,Gold,Disc,No,,5000,24766522,Gold disc 92*7nm,,pmid,,
9,6.0,73.80952381,Mouse,20.0,Balb/c mice,Spleen,92.0,198Au,Gold,Disc,No,,5000,24766522,,,pmid,,
9,24.0,83.33333333,Mouse,20.0,Balb/c mice,Spleen,92.0,198Au,Gold,Disc,No,,5000,24766522,,,pmid,,
10,1.0,88.66666667,Mouse,20.0,Balb/c mice,Spleen,49.6,198Au,Gold,Cages,No,,5000,24766522,Gold nanocages 49.6nm,,pmid,,
10,6.0,96.42857143,Mouse,20.0,Balb/c mice,Spleen,49.6,198Au,Gold,Cages,No,,5000,24766522,,,pmid,,
10,24.0,96.2962963,Mouse,20.0,Balb/c mice,Spleen,49.6,198Au,Gold,Cages,No,,5000,24766522,,,pmid,,
11,1.0,3.333333333,Mouse,,Nude mice,Spleen,5.5,ICP-MS,Gold,Nanoparticle,No,,1000,24123783,PEG gold 2.3nm,,pmid,PMC4127427,10.1002/anie.201304465
11,12.0,2.536231884,Mouse,,Nude mice,Spleen,5.5,ICP-MS,Gold,Nanoparticle,No,,1000,24123783,,,pmid,,
11,24.0,2.346376812,Mouse,,Nude mice,Spleen,5.5,ICP-MS,Gold,Nanoparticle,No,,1000,24123783,,,pmid,,
11,48.0,2.246376812,Mouse,,Nude mice,Spleen,5.5,ICP-MS,Gold,Nanoparticle,No,,1000,24123783,,,pmid,,
12,1.0,61.6,Mouse,22.5,C57BL/6 mice,Spleen,55.0,64Cu ,Gold,Cages,DOTA,Positive,5000,22690722,64Cu-DOTA-PEGAuNCs (55 nm),,pmid,PMC3404261,10.1021/nn300464r
12,4.0,18.0,Mouse,22.5,C57BL/6 mice,Spleen,55.0,64Cu ,Gold,Cages,DOTA,Positive,5000,22690722,,,pmid,,
12,24.0,7.79,Mouse,22.5,C57BL/6 mice,Spleen,55.0,64Cu ,Gold,Cages,DOTA,Positive,5000,22690722,,,pmid,,
13,1.0,15.51020408,Mouse,22.5,C57BL/6 mice,Spleen,30.0,64Cu ,Gold,Cages,DOTA,Positive,5000,22690722,64Cu-DOTA-PEG-AuNCs (30 nm),,pmid,,
13,4.0,9.642857143,Mouse,22.5,C57BL/6 mice,Spleen,30.0,64Cu ,Gold,Cages,DOTA,Positive,5000,22690722,,,pmid,,
13,24.0,6.5,Mouse,22.5,C57BL/6 mice,Spleen,30.0,64Cu ,Gold,Cages,DOTA,Positive,5000,22690722,,,pmid,,
14,1.0,46.8,Mouse,22.5,C57BL/6 mice,Spleen,55.0,64Cu ,Gold,Cages,DOTA,Positive,5000,22690722,64Cu-DOTA-PEGAuNCs (55 nm) tumor,,pmid,,
14,4.0,58.0,Mouse,22.5,C57BL/6 mice,Spleen,55.0,64Cu ,Gold,Cages,DOTA,Positive,5000,22690722,,,pmid,,
14,24.0,42.4,Mouse,22.5,C57BL/6 mice,Spleen,55.0,64Cu ,Gold,Cages,DOTA,Positive,5000,22690722,,,pmid,,
15,1.0,30.41666667,Mouse,22.5,C57BL/6 mice,Spleen,30.0,64Cu ,Gold,Cages,DOTA,Positive,5000,22690722,64Cu-DOTA-PEG-AuNCs (30 nm) tumor,,pmid,,
15,4.0,34.58333333,Mouse,22.5,C57BL/6 mice,Spleen,30.0,64Cu ,Gold,Cages,DOTA,Positive,5000,22690722,,,pmid,,
15,24.0,30.83333333,Mouse,22.5,C57BL/6 mice,Spleen,30.0,64Cu ,Gold,Cages,DOTA,Positive,5000,22690722,,,pmid,,
16,4.0,9.022309711,Mouse,,SCID mice,Spleen,42.5,ICP-MS,Gold,Nanoparticle,No,,5000,21711861,43 nm AuNP-PEG5000 (Kennedy et al. 2011),,pmid,PMC3211348,10.1186/1556-276X-6-283
16,8.0,29.93766404,Mouse,,SCID mice,Spleen,42.5,ICP-MS,Gold,Nanoparticle,No,,5000,21711861,,,pmid,,
16,24.0,31.167979,Mouse,,SCID mice,Spleen,42.5,ICP-MS,Gold,Nanoparticle,No,,5000,21711861,,,pmid,,
16,48.0,132.8740157,Mouse,,SCID mice,Spleen,42.5,ICP-MS,Gold,Nanoparticle,No,,5000,21711861,,,pmid,,
17,0.5,10.13333333,Mouse,21.0,Nude mice,Spleen,50.0,ICP-MS,Gold,Nanoparticle,No,Negative,5000,21093587,50nm Au PEG,,pmid,PMC3379889,10.1016/j.ejpb.2010.11.010
17,2.0,15.6,Mouse,21.0,Nude mice,Spleen,50.0,ICP-MS,Gold,Nanoparticle,No,Negative,5000,21093587,,,pmid,,
17,6.0,16.8,Mouse,21.0,Nude mice,Spleen,50.0,ICP-MS,Gold,Nanoparticle,No,Negative,5000,21093587,,,pmid,,
17,24.0,20.66666667,Mouse,21.0,Nude mice,Spleen,50.0,ICP-MS,Gold,Nanoparticle,No,Negative,5000,21093587,,,pmid,,
17,168.0,19.6,Mouse,21.0,Nude mice,Spleen,50.0,ICP-MS,Gold,Nanoparticle,No,Negative,5000,21093587,,,pmid,,
18,1.0,28.18068794,Mouse,20.0,Balb/c mice,Spleen,7.2,ICP-MS,Gold,Clusters,BSA,Negative,Yes,25671498,GNC-BSA 7.2,,pmid,,
18,24.0,38.1268131,Mouse,20.0,Balb/c mice,Spleen,7.2,ICP-MS,Gold,Clusters,BSA,Negative,yes,25671498,,,pmid,,
18,72.0,31.49606299,Mouse,20.0,Balb/c mice,Spleen,7.2,ICP-MS,Gold,Clusters,BSA,Negative,yes,25671498,,,pmid,,
19,0.083333333,4.051724138,Mouse,26.1,C57BL/6 mice,Spleen,5.0,NAA,Gold,Composite devices,,Positive,0,17962085,5 nm P-Au-CND,,pmid,,
19,1.0,1.982758621,Mouse,26.1,C57BL/6 mice,Spleen,5.0,NAA,Gold,Composite devices,,Positive,0,17962085,,,pmid,,
19,24.0,2.629310345,Mouse,26.1,C57BL/6 mice,Spleen,5.0,NAA,Gold,Composite devices,,Positive,0,17962085,,,pmid,,
19,96.0,2.112068966,Mouse,26.1,C57BL/6 mice,Spleen,5.0,NAA,Gold,Composite devices,,Positive,0,17962085,,,pmid,,
20,0.083333333,19.83870968,Mouse,26.1,C57BL/6 mice,Spleen,5.0,NAA,Gold,Composite devices,,Negative,0,17962085,5 nm Ng-Au-CND,,pmid,,
20,1.0,15.84677419,Mouse,26.1,C57BL/6 mice,Spleen,5.0,NAA,Gold,Composite devices,,Negative,0,17962085,,,pmid,,
20,24.0,17.66129032,Mouse,26.1,C57BL/6 mice,Spleen,5.0,NAA,Gold,Composite devices,,Negative,0,17962085,,,pmid,,
20,96.0,22.37903226,Mouse,26.1,C57BL/6 mice,Spleen,5.0,NAA,Gold,Composite devices,,Negative,0,17962085,,,pmid,,
21,0.083333333,19.18918919,Mouse,26.1,C57BL/6 mice,Spleen,5.0,NAA,Gold,Composite devices,,Neutral,0,17962085,5 nm N-Au-CND,,pmid,,
21,1.0,16.21621622,Mouse,26.1,C57BL/6 mice,Spleen,5.0,NAA,Gold,Composite devices,,Neutral,0,17962085,,,pmid,,
21,24.0,17.2972973,Mouse,26.1,C57BL/6 mice,Spleen,5.0,NAA,Gold,Composite devices,,Neutral,0,17962085,,,pmid,,
21,96.0,21.89189189,Mouse,26.1,C57BL/6 mice,Spleen,5.0,NAA,Gold,Composite devices,,Neutral,0,17962085,,,pmid,,
22,1.0,16.83544304,Mouse,,Nude mice,Spleen,24.4,64Cu ,Gold,Nanoparticle,EGFR Target Affibody ,Negative,3000,23343632,64Cu-NOTA-Au-IONP-Affibody 24.4nm,,pmid,PMC3563754,10.1016/j.biomaterials.2013.01.014
22,2.0,15.94936709,Mouse,,Nude mice,Spleen,24.4,64Cu ,Gold,Nanoparticle,EGFR Target Affibody ,Negative,3000,23343632,,,pmid,,
22,4.0,12.78481013,Mouse,,Nude mice,Spleen,24.4,64Cu ,Gold,Nanoparticle,EGFR Target Affibody ,Negative,3000,23343632,,,pmid,,
22,24.0,13.5443038,Mouse,,Nude mice,Spleen,24.4,64Cu ,Gold,Nanoparticle,EGFR Target Affibody ,Negative,3000,23343632,,,pmid,,
22,48.0,8.227848101,Mouse,,Nude mice,Spleen,24.4,64Cu ,Gold,Nanoparticle,EGFR Target Affibody ,Negative,3000,23343632,,,pmid,,
23,2.0,13.75,Mouse,21.0,Nude mice,Spleen,120.0,64Cu ,Gold,Nanoparticle,DOTA,,2500,21608124,SERS nanoparticles Gold 120nm,,pmid,PMC4151626,10.1002/smll.201002317
23,5.0,10.81,Mouse,21.0,Nude mice,Spleen,120.0,64Cu ,Gold,Nanoparticle,DOTA,,2500,21608124,,,pmid,,
23,24.0,6.14,Mouse,21.0,Nude mice,Spleen,120.0,64Cu ,Gold,Nanoparticle,DOTA,,2500,21608124,,,pmid,,
24,0.5,18.32,Mouse,23.0,SCID mice ,Spleen,10.0,99mTc ,Gold,Nanoparticle,Folic Acid,,0,33212346,99mTc-labeled gold <10nm,,pmid,,
24,1.0,11.59,Mouse,23.0,SCID mice ,Spleen,10.0,99mTc ,Gold,Nanoparticle,Folic Acid,,0,33212346,,,pmid,,
24,3.0,11.28,Mouse,23.0,SCID mice ,Spleen,10.0,99mTc ,Gold,Nanoparticle,Folic Acid,,0,33212346,,,pmid,,
25,24.0,3.486238532,Mouse,20.0,ICR mice,Spleen,16.0,ICP-MS,Gold,Nanoparticle,NO,Neutral,0,24550205,AuNP-C10-SN4 16nm,,pmid,,
25,168.0,3.119266055,Mouse,20.0,ICR mice,Spleen,16.0,ICP-MS,Gold,Nanoparticle,NO,Neutral,0,24550205,,,pmid,,
25,672.0,5.137614679,Mouse,20.0,ICR mice,Spleen,16.0,ICP-MS,Gold,Nanoparticle,NO,Neutral,0,24550205,,,pmid,,
26,24.0,43.85321101,Mouse,20.0,ICR mice,Spleen,16.0,ICP-MS,Gold,Nanoparticle,NO,Neutral,2000,24550205,AuNP-PEG2000  16nm,,pmid,,
26,168.0,38.34862385,Mouse,20.0,ICR mice,Spleen,16.0,ICP-MS,Gold,Nanoparticle,NO,Neutral,2000,24550205,,,pmid,,
26,672.0,49.17431193,Mouse,20.0,ICR mice,Spleen,16.0,ICP-MS,Gold,Nanoparticle,NO,Neutral,2000,24550205,,,pmid,,
27,24.0,32.28346457,Mouse,27.5,Male ddY mice,Spleen,15.0,ICP-MS,Gold,Nanoparticle,NO,Very negative,0,18722754,Gold NP 15nm,,pmid,,
28,24.0,35.43307087,Mouse,27.5,Male ddY mice,Spleen,50.0,ICP-MS,Gold,Nanoparticle,NO,Very negative,0,18722754,Gold NP 50nm,,pmid,,
29,24.0,39.37007874,Mouse,27.5,Male ddY mice,Spleen,100.0,ICP-MS,Gold,Nanoparticle,NO,Very negative,0,18722754,Gold 100nm,,pmid,,
30,24.0,55.11811024,Mouse,27.5,Male ddY mice,Spleen,200.0,ICP-MS,Gold,Nanoparticle,NO,Very negative,0,18722754,Gold 200nm,,pmid,,
31,48.0,15.83,Mouse,22.5,Nude mice,Spleen,20.0,111In,Gold,Nanoparticle,NO,Neutral,5000,19131103,20-nm AuNPs coated with PEG5000-TA,,pmid,PMC2745599,10.1016/j.biomaterials.2008.12.038
32,48.0,62.91,Mouse,22.5,Nude mice,Spleen,80.0,111In,Gold,Nanoparticle,NO,Neutral,5000,19131103,80-nm AuNPs coated with PEG5000-TA,,pmid,,
33,1.0,31.80327869,Mouse,,Balb/c mice,Spleen,9.4,PET,Gold,Nanoparticle,No,Neutral,5000,24272951,64CuAuNPs 9.4nm,,pmid,,
33,24.0,209.3023256,Mouse,,Balb/c mice,Spleen,9.4,PET,Gold,Nanoparticle,No,Neutral,5000,24272951,,,pmid,,
33,48.0,227.9069767,Mouse,,Balb/c mice,Spleen,9.4,PET,Gold,Nanoparticle,No,Neutral,5000,24272951,,,pmid,,
34,0.5,5.53,Mouse,22.5,Nude mice,Spleen,21.5,99mTc ,Gold,Nanoparticle, RGD peptide,,0,21513349,99mTc-AuNP-RGD 21.5nm,,pmid,,
34,1.0,5.54,Mouse,22.5,Nude mice,Spleen,21.5,99mTc ,Gold,Nanoparticle, RGD peptide,,0,21513349,,,pmid,,
34,3.0,5.3,Mouse,22.5,Nude mice,Spleen,21.5,99mTc ,Gold,Nanoparticle, RGD peptide,,0,21513349,,,pmid,,
34,24.0,1.47,Mouse,22.5,Nude mice,Spleen,21.5,99mTc ,Gold,Nanoparticle, RGD peptide,,0,21513349,,,pmid,,
35,4.0,11.68141593,Mouse,19.0,Kunming mice,Spleen,6.2,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,PEG coated Au NPs 6.2nm,,pmid,,
35,24.0,13.09734513,Mouse,19.0,Kunming mice,Spleen,6.2,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
35,48.0,7.433628319,Mouse,19.0,Kunming mice,Spleen,6.2,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
35,144.0,5.486725664,Mouse,19.0,Kunming mice,Spleen,6.2,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
35,240.0,2.477876106,Mouse,19.0,Kunming mice,Spleen,6.2,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
36,4.0,4.159292035,Mouse,19.0,Kunming mice,Spleen,24.3,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,PEG coated Au NPs 24.3nm,,pmid,,
36,24.0,11.59292035,Mouse,19.0,Kunming mice,Spleen,24.3,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
36,48.0,16.10619469,Mouse,19.0,Kunming mice,Spleen,24.3,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
36,144.0,13.45132743,Mouse,19.0,Kunming mice,Spleen,24.3,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
36,240.0,10.88495575,Mouse,19.0,Kunming mice,Spleen,24.3,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
36,480.0,8.053097345,Mouse,19.0,Kunming mice,Spleen,24.3,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
36,720.0,5.044247788,Mouse,19.0,Kunming mice,Spleen,24.3,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
36,2160.0,1.415929204,Mouse,19.0,Kunming mice,Spleen,24.3,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
37,4.0,25.04424779,Mouse,19.0,Kunming mice,Spleen,42.5,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,PEG coated Au NPs 42.5nm,,pmid,,
37,24.0,30.26548673,Mouse,19.0,Kunming mice,Spleen,42.5,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
37,48.0,32.65486726,Mouse,19.0,Kunming mice,Spleen,42.5,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
37,144.0,45.66371681,Mouse,19.0,Kunming mice,Spleen,42.5,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
37,240.0,39.38053097,Mouse,19.0,Kunming mice,Spleen,42.5,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
37,480.0,26.72566372,Mouse,19.0,Kunming mice,Spleen,42.5,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
37,720.0,19.02654867,Mouse,19.0,Kunming mice,Spleen,42.5,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
37,2160.0,4.778761062,Mouse,19.0,Kunming mice,Spleen,42.5,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
38,4.0,33.71681416,Mouse,19.0,Kunming mice,Spleen,61.2,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,PEG coated Au NPs 61.2nm,,pmid,,
38,24.0,39.82300885,Mouse,19.0,Kunming mice,Spleen,61.2,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
38,48.0,30.3539823,Mouse,19.0,Kunming mice,Spleen,61.2,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
38,144.0,16.46017699,Mouse,19.0,Kunming mice,Spleen,61.2,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
38,240.0,12.56637168,Mouse,19.0,Kunming mice,Spleen,61.2,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
38,480.0,9.380530973,Mouse,19.0,Kunming mice,Spleen,61.2,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
38,720.0,8.672566372,Mouse,19.0,Kunming mice,Spleen,61.2,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
38,2160.0,3.539823009,Mouse,19.0,Kunming mice,Spleen,61.2,ICP-AES,Gold,Nanoparticle,No,Neutral,3400,29677597,,,pmid,,
39,1.0,7.29,Mouse,19.0,Balb/c mice,Spleen,44.1,111In,Gold,Nanoparticle,EGFR target Cetuximab,,5000,24990295,111In-C225-AuNPs 44.1,,pmid,,
39,4.0,6.29,Mouse,19.0,Balb/c mice,Spleen,44.1,111In,Gold,Nanoparticle,EGFR target Cetuximab,,5000,24990295,,,pmid,,
39,24.0,8.24,Mouse,19.0,Balb/c mice,Spleen,44.1,111In,Gold,Nanoparticle,EGFR target Cetuximab,,5000,24990295,,,pmid,,
39,48.0,7.65,Mouse,19.0,Balb/c mice,Spleen,44.1,111In,Gold,Nanoparticle,EGFR target Cetuximab,,5000,24990295,,,pmid,,
40,24.0,3.6,Mouse,19.0,Balb/c mice,Spleen,45.1,111In,Gold,Nanoparticle,No,,5000,24990295,111In--AuNPs 44.1,,pmid,,
41,1.0,7.205882353,Mouse,18.0,Balb/c mice,Spleen,5.0,199Au,Gold,Nanoparticle,DAPTA ,,5000,26865221, 5 nm 199Au-AuNP-PEG,,pmid,PMC4836969,10.1002/adhm.201500992
41,4.0,7.941176471,Mouse,18.0,Balb/c mice,Spleen,5.0,199Au,Gold,Nanoparticle,DAPTA ,,5000,26865221,,,pmid,,
41,24.0,13.82352941,Mouse,18.0,Balb/c mice,Spleen,5.0,199Au,Gold,Nanoparticle,DAPTA ,,5000,26865221,,,pmid,,
42,1.0,6.285714286,Mouse,18.0,Balb/c mice,Spleen,18.0,199Au,Gold,Nanoparticle,DAPTA ,,5000,26865221, 18 nm 199Au-AuNP-PEG,,pmid,,
42,4.0,9.714285714,Mouse,18.0,Balb/c mice,Spleen,18.0,199Au,Gold,Nanoparticle,DAPTA ,,5000,26865221,,,pmid,,
42,24.0,7.857142857,Mouse,18.0,Balb/c mice,Spleen,18.0,199Au,Gold,Nanoparticle,DAPTA ,,5000,26865221,,,pmid,,
43,6.0,26.13333333,Mouse,18.0,Balb/c mice,Spleen,10.0,ICP-MS,Gold,Rods,Folic Acid,,Yes,25933697,"FA receptor gold rod 9-11nm , 35-40nm",,pmid,,
43,24.0,29.090909090909,Mouse,18.0,Balb/c mice,Spleen,10.0,ICP-MS,Gold,Rods,Folic Acid,,Yes,25933697,,,pmid,,
43,168.0,23.4090909090909,Mouse,18.0,Balb/c mice,Spleen,10.0,ICP-MS,Gold,Rods,Folic Acid,,Yes,25933697,,,pmid,,
44,24.0,43.01901287,Mouse,18.0,Balb/c mice,Spleen,14.0,NAA,Gold,Rods,No,,Yes,20210487,Gold nanorod 45*14,,pmid,,
44,168.0,43.01901287,Mouse,18.0,Balb/c mice,Spleen,14.0,NAA,Gold,Rods,No,,Yes,20210487,,,pmid,,
44,672.0,49.4718648,Mouse,18.0,Balb/c mice,Spleen,14.0,NAA,Gold,Rods,No,,Yes,20210487,,,pmid,,
45,1.0,32.66666667,Mouse,20.0,Balb/c mice,Spleen,9.1,198Au,Gold,Rods,No,,5000,24766522,Gold Nanorods 39.2*9.1nm,,pmid,,
45,6.0,43.45238095,Mouse,20.0,Balb/c mice,Spleen,9.1,198Au,Gold,Rods,No,,5000,24766522,,,pmid,,
45,24.0,45.0617284,Mouse,20.0,Balb/c mice,Spleen,9.1,198Au,Gold,Rods,No,,5000,24766522,,,pmid,,
46,0.5,1.182795699,Mouse,21.4,Nude mice,Spleen,10.0,ICP-MS,Gold,Rods,No,Neutral,5000,21093587,10*45nm Gold Rods PEG,,pmid,,
46,2.0,3.548387097,Mouse,21.4,Nude mice,Spleen,10.0,ICP-MS,Gold,Rods,No,Neutral,5000,21093587,,,pmid,,
46,6.0,4.301075269,Mouse,21.4,Nude mice,Spleen,10.0,ICP-MS,Gold,Rods,No,Neutral,5000,21093587,,,pmid,,
46,24.0,10.53763441,Mouse,21.4,Nude mice,Spleen,10.0,ICP-MS,Gold,Rods,No,Neutral,5000,21093587,,,pmid,,
46,72.0,16.02150538,Mouse,21.4,Nude mice,Spleen,10.0,ICP-MS,Gold,Rods,No,Neutral,5000,21093587,,,pmid,,
47,1.0,44.75756,Mouse,20.0,Balb/c mice,Spleen,15.0,ICP-MS,Gold,Rods,No,Neutral,2000,25671498,AuNR-SiO2-PEG 41.8 15*60,,pmid,,
47,24.0,69.62287609,Mouse,20.0,Balb/c mice,Spleen,15.0,ICP-MS,Gold,Rods,No,Neutral,2000,25671498,,,pmid,,
47,72.0,57.19021964,Mouse,20.0,Balb/c mice,Spleen,15.0,ICP-MS,Gold,Rods,No,Neutral,2000,25671498,,,pmid,,
